epoch,accuracy,loss,val_accuracy,val_loss
0,0.7634999752044678,0.637489378452301,0.8600000143051147,0.3056471049785614
1,0.8575000166893005,0.3522982895374298,0.9024999737739563,0.25433775782585144
2,0.8865000009536743,0.3093096911907196,0.8537499904632568,0.3333474099636078
3,0.8914999961853027,0.25158101320266724,0.9012500047683716,0.26960402727127075
4,0.9164999723434448,0.24297308921813965,0.8550000190734863,0.36853882670402527
5,0.921500027179718,0.20018333196640015,0.9049999713897705,0.2982945144176483
6,0.9340000152587891,0.18183587491512299,0.8999999761581421,0.3311869502067566
7,0.9380000233650208,0.17500898241996765,0.8924999833106995,0.3437037765979767
8,0.9399999976158142,0.1598241925239563,0.8774999976158142,0.45229148864746094
9,0.953000009059906,0.13337360322475433,0.9012500047683716,0.4174295663833618
